id	modified	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	individualCount	sex	lifeStage	eventDate	year	month	day	fieldNotes	countryCode	locality	verbatimCoordinates	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	pointRadiusSpatialFit	identifiedBy	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	nomenclaturalCode
RBINS:Beetles:11	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:11	11	4		Adult	1942-06-26	1942	6	26		BE	Torgny	31UFQ88A	UTM 5km	+49.513	+5.521	WGS84	3536	1.5708	Mayné R.	Phaenops cyaneus (Fabricius, 1775)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Phaenops	cyaneus	ICZN
RBINS:Beetles:12	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:12	12	1		Adult	2007-06-10	2007	6	10	Sur Pinus sylvestris	BE	Vencimont	31UFR34D	UTM 5km	+50.019	+4.919	WGS84	3536	1.5708	Muret P.	Phaenops cyaneus (Fabricius, 1775)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Phaenops	cyaneus	ICZN
RBINS:Beetles:13	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:13	13	5		Adult	1945-05-10	1945	5	10		BE	Lixhe	31UFS82B	UTM 5km	+50.769	+5.659	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:14	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:14	14	1		Adult	1945-05-10	1945	5	10		BE	Lixhe	31UFS82B	UTM 5km	+50.769	+5.659	WGS84	3536	1.5708	Simon A.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:15	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:15	15	5		Adult	1945-05-17	1945	5	17		BE	Lixhe	31UFS82B	UTM 5km	+50.769	+5.659	WGS84	3536	1.5708	de Ruette R.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:16	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:16	16	7		Adult	1945-05-10	1945	5	10		BE	(Montagne Saint-Pierre)	31UFS83D	UTM 5km	+50.814	+5.662	WGS84	3536	1.5708	Depré J.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:17	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:17	17	2		Adult	1945-05-16	1945	5	16		BE	(Montagne Saint-Pierre)	31UFS83D	UTM 5km	+50.814	+5.662	WGS84	3536	1.5708	Depré J.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:18	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:18	18	1		Adult	1945-05-17	1945	5	17		BE	(Montagne Saint-Pierre)	31UFS83D	UTM 5km	+50.814	+5.662	WGS84	3536	1.5708	Depré J.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:19	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:19	19	2		Adult	1945-06-07	1945	6	7		BE	Loën	31UFS83D	UTM 5km	+50.814	+5.662	WGS84	3536	1.5708	Depré J.	Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
RBINS:Beetles:20	2015-09-10	RBINS	Beetles	PreservedSpecimen	RBINS:Beetles:20	20	3		Adult	1918-05-01	1918	5	1		BE	Vivegnis	31UFS81B	UTM 5km	+50.679	+5.654	WGS84	3536	1.5708		Anthaxia manca (Linnaeus, 1767)	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae	Anthaxia	manca	ICZN
