"class","name","type","format","constraints","comment"
"Record-level","type","string","default",,
"Record-level","modified","string","default",,"Recommended best practice is to use a date that conforms to ISO 8601:2004(E)."
"Record-level","language","string","default","{ ""minLength"": 2, ""maxLength"": 2} ","Recommended best practice is to use RFC 5646 as a controlled vocabulary."
"Record-level","license","string","default",,
"Record-level","rightsHolder","string","default",,
"Record-level","accessRights","string","default",,
"Record-level","bibliographicCitation","string","default",,
"Record-level","references","string","default",,
"Record-level","institutionID","string","default",,
"Record-level","collectionID","string","default",,
"Record-level","datasetID","string","default",,
"Record-level","institutionCode","string","default",,
"Record-level","collectionCode","string","default",,
"Record-level","datasetName","string","default",,
"Record-level","ownerInstitutionCode","string","default",,
"Record-level","basisOfRecord","string","default","{ ""enum"": [""PreservedSpecimen"",""FossilSpecimen"", ""LivingSpecimen"", ""MaterialSample"", ""Event"", ""HumanObservation"", ""MachineObservation"", ""Taxon"", ""Occurrence""]} ",
"Record-level","informationWithheld","string","default",,
"Record-level","dataGeneralizations","string","default",,
"Record-level","dynamicProperties","string","default",,
"Occurrence","occurrenceID","string","default",,
"Occurrence","catalogNumber","string","default",,
"Occurrence","recordNumber","string","default",,
"Occurrence","recordedBy","string","default",,
"Occurrence","individualCount","integer","default",,
"Occurrence","organismQuantity","string","default",,
"Occurrence","organismQuantityType","string","default",,
"Occurrence","sex","string","default",,
"Occurrence","lifeStage","string","default",,
"Occurrence","reproductiveCondition","string","default",,
"Occurrence","behavior","string","default",,
"Occurrence","establishmentMeans","string","default",,
"Occurrence","occurrenceStatus","string","default",,
"Occurrence","preparations","string","default",,
"Occurrence","disposition","string","default",,
"Occurrence","associatedMedia","string","default",,
"Occurrence","associatedReferences","string","default",,
"Occurrence","associatedSequences","string","default",,
"Occurrence","associatedTaxa","string","default",,
"Occurrence","otherCatalogNumbers","string","default",,
"Occurrence","occurrenceRemarks","string","default",,
"Organism","organismID","string","default",,
"Organism","organismName","string","default",,
"Organism","organismScope","string","default",,
"Organism","associatedOccurrences","string","default",,
"Organism","associatedOrganisms","string","default",,
"Organism","previousIdentifications","string","default",,
"Organism","organismRemarks","string","default",,
"MaterialSample","materialSampleID","string","default",,
"Event","eventID","string","default",,
"Event","parentEventID","string","default",,
"Event","fieldNumber","string","default",,
"Event","eventDate","string","default",,"Recommended best practice is to use a date that conforms to ISO 8601:2004(E)."
"Event","eventTime","string","default",,"Recommended best practice is to use a date that conforms to ISO 8601:2004(E)."
"Event","startDayOfYear","integer","default","{ ""minimum"": 1, ""maximum"": 366} ",
"Event","endDayOfYear","integer","default","{ ""minimum"": 1, ""maximum"": 366} ",
"Event","year","integer","default",,
"Event","month","integer","default","{ ""minimum"": 1, ""maximum"": 12} ",
"Event","day","integer","default","{ ""minimum"": 1, ""maximum"": 31} ",
"Event","verbatimEventDate","string","default",,
"Event","habitat","string","default",,
"Event","samplingProtocol","string","default",,
"Event","sampleSizeValue","string","default",,
"Event","sampleSizeUnit","string","default",,
"Event","samplingEffort","string","default",,
"Event","fieldNotes","string","default",,
"Event","eventRemarks","string","default",,
"Location","locationID","string","default",,
"Location","higherGeographyID","string","default",,
"Location","higherGeography","string","default",,
"Location","continent","string","default",,
"Location","waterBody","string","default",,
"Location","islandGroup","string","default",,
"Location","island","string","default",,
"Location","country","string","default",,
"Location","countryCode","string","default","{ ""minLength"": 2, ""maxLength"": 2} ","Recommended best practice is to use an ISO 3166-1-alpha-2 country code."
"Location","stateProvince","string","default",,
"Location","county","string","default",,
"Location","municipality","string","default",,
"Location","locality","string","default",,
"Location","verbatimLocality","string","default",,
"Location","minimumElevationInMeters","integer","default",,
"Location","maximumElevationInMeters","integer","default",,
"Location","verbatimElevation","string","default",,
"Location","minimumDepthInMeters","integer","default",,
"Location","maximumDepthInMeters","integer","default",,
"Location","verbatimDepth","string","default",,
"Location","minimumDistanceAboveSurfaceInMeters","string","default",,
"Location","maximumDistanceAboveSurfaceInMeters","string","default",,
"Location","locationAccordingTo","string","default",,
"Location","locationRemarks","string","default",,
"Location","decimalLatitude","number","default","{ ""minimum"": -90.0, ""maximum"": 90.0} ",
"Location","decimalLongitude","number","default","{ ""minimum"": -180.0, ""maximum"": 180.0} ",
"Location","geodeticDatum","string","default",,
"Location","coordinateUncertaintyInMeters","integer","default",,
"Location","coordinatePrecision","number","default",,
"Location","pointRadiusSpatialFit","string","default",,
"Location","verbatimCoordinates","string","default",,
"Location","verbatimLatitude","string","default",,
"Location","verbatimLongitude","string","default",,
"Location","verbatimCoordinateSystem","string","default",,
"Location","verbatimSRS","string","default",,
"Location","footprintWKT","string","default",,
"Location","footprintSRS","string","default",,
"Location","footprintSpatialFit","string","default",,
"Location","georeferencedBy","string","default",,
"Location","georeferencedDate","string","default",,"Recommended best practice is to use a date that conforms to ISO 8601:2004(E)."
"Location","georeferenceProtocol","string","default",,
"Location","georeferenceSources","string","default",,
"Location","georeferenceVerificationStatus","string","default",,
"Location","georeferenceRemarks","string","default",,
"GeologicalContext","geologicalContextID","string","default",,
"GeologicalContext","earliestEonOrLowestEonothem","string","default",,
"GeologicalContext","latestEonOrHighestEonothem","string","default",,
"GeologicalContext","earliestEraOrLowestErathem","string","default",,
"GeologicalContext","latestEraOrHighestErathem","string","default",,
"GeologicalContext","earliestPeriodOrLowestSystem","string","default",,
"GeologicalContext","latestPeriodOrHighestSystem","string","default",,
"GeologicalContext","earliestEpochOrLowestSeries","string","default",,
"GeologicalContext","latestEpochOrHighestSeries","string","default",,
"GeologicalContext","earliestAgeOrLowestStage","string","default",,
"GeologicalContext","latestAgeOrHighestStage","string","default",,
"GeologicalContext","lowestBiostratigraphicZone","string","default",,
"GeologicalContext","highestBiostratigraphicZone","string","default",,
"GeologicalContext","lithostratigraphicTerms","string","default",,
"GeologicalContext","group","string","default",,
"GeologicalContext","formation","string","default",,
"GeologicalContext","member","string","default",,
"GeologicalContext","bed","string","default",,
"Identification","identificationID","string","default",,
"Identification","identificationQualifier","string","default",,
"Identification","typeStatus","string","default",,
"Identification","identifiedBy","string","default",,
"Identification","dateIdentified","string","default",,"Recommended best practice is to use a date that conforms to ISO 8601:2004(E)."
"Identification","identificationReferences","string","default",,
"Identification","identificationVerificationStatus","string","default",,
"Identification","identificationRemarks","string","default",,
"Taxon","taxonID","string","default",,
"Taxon","scientificNameID","string","default",,
"Taxon","acceptedNameUsageID","string","default",,
"Taxon","parentNameUsageID","string","default",,
"Taxon","originalNameUsageID","string","default",,
"Taxon","nameAccordingToID","string","default",,
"Taxon","namePublishedInID","string","default",,
"Taxon","taxonConceptID","string","default",,
"Taxon","scientificName","string","default",,
"Taxon","acceptedNameUsage","string","default",,
"Taxon","parentNameUsage","string","default",,
"Taxon","originalNameUsage","string","default",,
"Taxon","nameAccordingTo","string","default",,
"Taxon","namePublishedIn","string","default",,
"Taxon","namePublishedInYear","integer","default",,
"Taxon","higherClassification","string","default",,
"Taxon","kingdom","string","default",,
"Taxon","phylum","string","default",,
"Taxon","class","string","default",,
"Taxon","order","string","default",,
"Taxon","family","string","default",,
"Taxon","genus","string","default",,
"Taxon","subgenus","string","default",,
"Taxon","specificEpithet","string","default",,
"Taxon","infraspecificEpithet","string","default",,
"Taxon","taxonRank","string","default",,
"Taxon","verbatimTaxonRank","string","default",,
"Taxon","scientificNameAuthorship","string","default",,
"Taxon","vernacularName","string","default",,
"Taxon","nomenclaturalCode","string","default",,
"Taxon","taxonomicStatus","string","default",,
"Taxon","nomenclaturalStatus","string","default",,
"Taxon","taxonRemarks","string","default",,
"MeasurementOrFact","measurementID","string","default",,
"MeasurementOrFact","measurementType","string","default",,
"MeasurementOrFact","measurementValue","string","default",,
"MeasurementOrFact","measurementAccuracy","string","default",,
"MeasurementOrFact","measurementUnit","string","default",,
"MeasurementOrFact","measurementDeterminedBy","string","default",,
"MeasurementOrFact","measurementDeterminedDate","string","default",,"Recommended best practice is to use a date that conforms to ISO 8601:2004(E)."
"MeasurementOrFact","measurementMethod","string","default",,
"MeasurementOrFact","measurementRemarks","string","default",,
"ResourceRelationship","resourceRelationshipID","string","default",,
"ResourceRelationship","resourceID","string","default",,
"ResourceRelationship","relatedResourceID","string","default",,
"ResourceRelationship","relationshipOfResource","string","default",,
"ResourceRelationship","relationAccordingTo","string","default",,
"ResourceRelationship","relationEstablishedDate","string","default",,
"ResourceRelationship","relationRemarks","string","default",,
