class,namespace,qualifiedName,name,type,format,constraints,comment
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/organismQuantity,organismQuantity,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/organismQuantityType,organismQuantityType,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/sex,sex,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/lifeStage,lifeStage,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/reproductiveCondition,reproductiveCondition,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/behavior,behavior,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/establishmentMeans,establishmentMeans,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/occurrenceStatus,occurrenceStatus,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/preparations,preparations,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/disposition,disposition,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/associatedMedia,associatedMedia,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/associatedReferences,associatedReferences,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/associatedSequences,associatedSequences,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/associatedTaxa,associatedTaxa,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,otherCatalogNumbers,string,default,,
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,occurrenceRemarks,string,default,,
Organism,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/organismID,organismID,string,default,,
Organism,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/organismName,organismName,string,default,,
Organism,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/organismScope,organismScope,string,default,,
Organism,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/associatedOccurrences,associatedOccurrences,string,default,,
Organism,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/associatedOrganisms,associatedOrganisms,string,default,,
Organism,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/previousIdentifications,previousIdentifications,string,default,,
Organism,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/organismRemarks,organismRemarks,string,default,,
MaterialSample,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/materialSampleID,materialSampleID,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/eventID,eventID,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/parentEventID,parentEventID,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/fieldNumber,fieldNumber,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/eventDate,eventDate,string,default,,Recommended best practice is to use a date that conforms to ISO 8601:2004(E).
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/eventTime,eventTime,string,default,,Recommended best practice is to use a date that conforms to ISO 8601:2004(E).
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/startDayOfYear,startDayOfYear,integer,default,"{ ""minimum"": 1, ""maximum"": 366} ",
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/endDayOfYear,endDayOfYear,integer,default,"{ ""minimum"": 1, ""maximum"": 366} ",
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/year,year,integer,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/month,month,integer,default,"{ ""minimum"": 1, ""maximum"": 12} ",
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/day,day,integer,default,"{ ""minimum"": 1, ""maximum"": 31} ",
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/verbatimEventDate,verbatimEventDate,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/habitat,habitat,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/samplingProtocol,samplingProtocol,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/sampleSizeValue,sampleSizeValue,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/sampleSizeUnit,sampleSizeUnit,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/samplingEffort,samplingEffort,string,default,,
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/fieldNotes,fieldNotes,string,default,,
